token_id,decoded,count,source
3878, series,20,freq_content
1602, being,23,freq_content
21262, Tower,25,freq_content
2943, four,23,freq_content
16366, Building,18,freq_content
18850, Atlanta,21,freq_content
22936, NHL,22,freq_content
680, out,23,freq_content
1172, under,22,freq_content
948, when,19,freq_content
2107, both,18,freq_content
2532, There,19,freq_content
599, have,20,freq_content
14168, Fair,22,freq_content
286,ing,23,freq_content
1518, before,19,freq_content
883, about,21,freq_content
975, other,23,freq_content
1680, such,19,freq_content
41271, Flower,23,freq_content
55027, arsenal,20,freq_content
777, more,19,freq_content
6696, mask,21,freq_content
1472, through,18,freq_content
660, all,18,freq_content
1132, only,24,freq_content
1345, while,18,freq_content
1056, than,20,freq_content
8026, ship,19,freq_content
51060,ambia,19,freq_content
