prompt_id,baseline_loop,baseline_tokens,ablate_trigger_loop,ablate_trigger_tokens,ablate_random_loop,ablate_random_tokens,ablate_control_loop,ablate_control_tokens,ablate_trigger_sensory_loop,ablate_trigger_sensory_tokens,ablate_trigger_motor_loop,ablate_trigger_motor_tokens
2,0,1319,0,1232,0,1198,0,1127,0,1135,0,1032
4,0,1054,0,1068,0,1022,0,1037,0,1211,0,1099
12,0,1149,0,1049,0,961,0,1052,0,989,0,1536
16,0,1536,0,1536,0,1536,0,1536,0,1536,0,1536
18,0,1536,0,1464,0,1536,0,1536,0,1487,0,1536
20,0,1536,0,1536,0,1536,0,1536,0,1536,0,1536
21,0,1536,0,1536,0,1536,0,1536,0,1536,0,1536
33,0,789,0,593,0,622,0,788,0,738,0,614
37,0,1536,0,1536,0,1536,0,1536,0,1536,0,1536
38,0,1536,0,1536,0,1536,0,1078,0,1536,0,1536
39,0,1517,0,1525,0,1536,0,1531,0,1536,0,1536
40,0,1536,0,1536,0,1536,0,1536,0,1536,0,1536
43,0,1536,0,1248,0,1263,0,1536,0,1536,0,1536
46,0,1536,0,1536,0,1536,0,1536,0,1536,0,1536
47,0,1536,0,1536,0,1536,0,1536,0,1536,0,1536
49,0,1341,0,1407,0,1271,0,1379,0,1344,0,1536
51,0,972,0,963,0,965,0,984,0,956,0,874
60,0,1536,0,1536,0,1536,0,1536,0,1536,0,1536
63,0,1536,0,1536,0,1536,0,1536,0,1536,0,1536
64,0,1248,0,999,0,1083,0,796,0,1536,0,987
